,Annual
119,32.62847796225
120,32.381556260850004
121,32.12639059275
122,31.86337825755
123,32.6058815475
124,32.35891018365
125,32.103794178
126,31.8407818428
127,32.58328513275001
128,32.3363137689
129,32.0811481008
130,31.8181357656
131,32.56063905554999
132,32.31371735414999
133,32.05855168605
134,31.795539350850003
135,32.5380426408
136,32.29107127695
137,32.035955271300004
138,31.7729429361
139,32.51544622605
140,32.268474862199994
141,32.0133091941
142,31.7502968589
143,32.49280014885
144,32.245828785
145,31.99071277935
146,31.72770044415
147,32.470203734100004
148,32.22323237025
149,31.968116364600004
150,31.705104029399998
151,32.447607319350006
152,32.2006359555
153,31.945470287399996
154,31.682457952200004
155,32.42496124215
156,32.1779898783
157,31.92287387265
158,31.659861537450002
159,32.4023648274
160,32.15539346355
161,31.9002774579
162,31.637215460249998
163,32.3797187502
164,32.1327970488
165,31.8776313807
166,31.6146190455
